iteration,adaptive_total_error,adaptive_total_residual,random_total_error,random_total_residual
0,11992.888779326066,668.8915991497461,12768.694652293014,672.8440879468999
1,2614.3091624149956,287.0826561049158,3059.707459249399,259.3274412107715
2,578.4081100331161,90.77530584569412,677.5498815349766,88.4864888619635
3,355.8596617919564,16.422952172474638,459.6030414403158,35.27222426555941
4,314.5508109317011,5.54223392753894,418.1657326779325,13.360666917214559
5,300.37796041699454,5.751695786426927,384.4697579950184,10.157243754586256
6,325.34414449864266,13.494459990822797,374.8799887346351,15.613510609054678
7,335.7676761413401,5.73198230487564,371.51244842131223,5.931897827901146
8,329.53161225450077,2.829799129174115,383.0375157158685,9.874314199339851
9,330.91550475827904,2.320735870141242,401.1282908777381,12.355716091927748
